,x,y,time
0.0,306.0,120.0,0.9906473159790039
1.0,306.0,120.0,1.0206942558288574
2.0,304.0,313.0,1.0550799369812012
3.0,304.0,313.0,1.119870662689209
4.0,304.0,313.0,1.1434173583984375
5.0,304.0,313.0,1.1831438541412354
6.0,304.0,313.0,1.2055981159210205
7.0,307.0,118.0,1.2346761226654053
8.0,307.0,118.0,1.2520363330841064
9.0,305.0,312.0,1.296382188796997
10.0,305.0,312.0,1.3282017707824707
11.0,305.0,311.0,1.3597371578216553
12.0,305.0,311.0,1.3895623683929443
13.0,304.0,309.0,1.4230725765228271
14.0,307.0,110.0,1.471153974533081
15.0,307.0,110.0,1.4983232021331787
16.0,305.0,108.0,1.5355925559997559
17.0,305.0,108.0,1.5576250553131104
18.0,303.0,303.0,1.5991075038909912
19.0,303.0,303.0,1.620678186416626
20.0,302.0,302.0,1.6635560989379883
21.0,302.0,302.0,1.6958849430084229
22.0,301.0,301.0,1.727813720703125
23.0,301.0,301.0,1.7582976818084717
24.0,301.0,299.0,1.7880949974060059
25.0,300.0,298.0,1.8395771980285645
26.0,300.0,298.0,1.8661482334136963
27.0,300.0,297.0,1.9035553932189941
28.0,300.0,297.0,1.9277410507202148
29.0,299.0,296.0,1.9573962688446045
30.0,299.0,296.0,1.9759986400604248
31.0,298.0,295.0,2.0151450634002686
32.0,297.0,294.0,2.079538106918335
33.0,297.0,294.0,2.098644495010376
34.0,297.0,82.0,2.1431422233581543
35.0,297.0,82.0,2.1591074466705322
36.0,293.0,293.0,2.191086530685425
37.0,293.0,293.0,2.2196402549743652
38.0,294.0,76.0,2.255079507827759
39.0,293.0,71.0,2.3196775913238525
40.0,293.0,71.0,2.343170404434204
41.0,289.0,289.0,2.3835933208465576
42.0,289.0,289.0,2.4031529426574707
43.0,289.0,66.0,2.431105136871338
44.0,289.0,66.0,2.449991226196289
45.0,286.0,287.0,2.495682716369629
46.0,286.0,287.0,2.513084888458252
47.0,286.0,63.0,2.559154510498047
48.0,286.0,63.0,2.577552080154419
49.0,286.0,60.0,2.623032569885254
50.0,284.0,284.0,2.670712471008301
51.0,284.0,284.0,2.6961355209350586
52.0,283.0,283.0,2.7355284690856934
53.0,283.0,283.0,2.758134126663208
54.0,284.0,51.0,2.7992076873779297
55.0,284.0,51.0,2.8190743923187256
56.0,282.0,283.0,2.864074230194092
57.0,282.0,283.0,2.89735746383667
58.0,282.0,283.0,2.927076578140259
59.0,282.0,283.0,2.9571266174316406
60.0,286.0,43.0,2.975475549697876
61.0,284.0,283.0,3.039020299911499
62.0,284.0,283.0,3.065490961074829
63.0,286.0,284.0,3.1037113666534424
64.0,286.0,284.0,3.1266164779663086
65.0,287.0,285.0,3.1519200801849365
66.0,287.0,285.0,3.1720731258392334
67.0,292.0,37.0,3.2151708602905273
68.0,290.0,285.0,3.2793147563934326
69.0,290.0,285.0,3.2979788780212402
70.0,291.0,285.0,3.343104839324951
71.0,291.0,285.0,3.372100830078125
72.0,291.0,285.0,3.391947031021118
73.0,291.0,285.0,3.4181480407714844
74.0,291.0,285.0,3.4551429748535156
75.0,291.0,48.0,3.519083023071289
76.0,291.0,48.0,3.542301654815674
77.0,289.0,55.0,3.583148717880249
78.0,289.0,55.0,3.6051433086395264
79.0,286.0,286.0,3.6341371536254883
80.0,286.0,286.0,3.6519951820373535
81.0,286.0,59.0,3.695460081100464
82.0,286.0,59.0,3.7266249656677246
83.0,285.0,58.0,3.7601559162139893
84.0,285.0,58.0,3.788059711456299
85.0,285.0,287.0,3.823462724685669
86.0,286.0,57.0,3.871724843978882
87.0,286.0,57.0,3.8961808681488037
88.0,284.0,288.0,3.9356844425201416
89.0,284.0,288.0,3.95332670211792
90.0,284.0,288.0,3.999417543411255
91.0,284.0,288.0,4.018691062927246
92.0,286.0,58.0,4.063579559326172
93.0,286.0,58.0,4.096188545227051
94.0,287.0,59.0,4.112537860870361
95.0,287.0,59.0,4.141791582107544
96.0,287.0,60.0,4.175102710723877
97.0,284.0,288.0,4.23907470703125
98.0,284.0,288.0,4.264392614364624
99.0,284.0,288.0,4.3031792640686035
100.0,284.0,288.0,4.326626300811768
101.0,289.0,58.0,4.35711932182312
102.0,289.0,58.0,4.374479532241821
103.0,289.0,51.0,4.4150636196136475
104.0,283.0,284.0,4.480038166046143
105.0,283.0,284.0,4.498133420944214
106.0,287.0,41.0,4.543260097503662
107.0,287.0,41.0,4.561559677124023
108.0,285.0,38.0,4.59151816368103
109.0,285.0,38.0,4.619074821472168
110.0,279.0,283.0,4.655562400817871
111.0,277.0,283.0,4.719067096710205
112.0,277.0,283.0,4.743703126907349
113.0,282.0,22.0,4.783131122589111
114.0,282.0,22.0,4.804104328155518
115.0,280.0,13.0,4.834137439727783
116.0,280.0,13.0,4.86512565612793
117.0,270.0,281.0,4.8974080085754395
118.0,270.0,281.0,4.926803112030029
119.0,267.0,282.0,4.960518836975098
120.0,267.0,282.0,4.988372564315796
121.0,265.0,283.0,5.02341890335083
122.0,264.0,284.0,5.071650981903076
123.0,264.0,284.0,5.096072673797607
