,cX,cY,Reps
0,578,1030,0
1,577,1031,0
2,577,1031,0
3,576,1030,0
4,575,1030,0
5,576,1029,0
6,575,1028,0
7,574,1028,0
8,575,1027,0
9,575,1026,0
10,575,1025,0
11,574,1024,0
12,575,1022,0
13,575,1020,0
14,575,1018,0
15,575,1015,0
16,576,1011,0
17,577,1006,0
18,577,1001,0
19,578,994,0
20,579,987,0
21,579,979,0
22,580,971,0
23,581,962,0
24,582,952,0
25,583,941,0
26,584,929,0
27,585,917,0
28,585,905,0
29,586,892,0
30,586,880,0
31,587,868,0
32,588,856,0
33,589,844,0
34,590,833,0
35,591,821,0
36,593,809,0
37,594,798,0
38,595,786,0
39,596,774,0
40,597,763,0
41,597,752,0
42,598,741,0
43,599,729,0
44,599,718,0
45,600,706,0
46,600,695,0
47,600,684,0
48,600,673,0
49,600,661,0
50,601,651,0
51,601,640,0
52,601,629,0
53,601,618,0
54,602,607,0
55,602,597,0
56,602,587,0
57,602,576,0
58,602,566,0
59,602,557,0
60,602,547,0
61,602,538,0
62,602,530,0
63,603,521,0
64,603,513,0
65,602,506,0
66,603,498,0
67,602,492,0
68,602,485,0
69,602,478,0
70,602,472,0
71,602,466,0
72,602,459,0
73,601,453,0
74,601,447,0
75,600,441,0
76,599,435,0
77,599,430,0
78,597,425,0
79,597,421,0
80,595,416,0
81,595,412,0
82,594,409,0
83,592,407,0
84,591,405,0
85,589,403,0
86,589,402,0
87,587,402,0
88,586,402,0
89,585,403,0
90,585,405,0
91,583,410,0
92,583,415,0
93,582,421,0
94,582,428,0
95,582,436,0
96,581,444,0
97,580,455,0
98,579,465,0
99,578,476,0
100,577,488,0
101,577,501,0
102,576,513,0
103,576,527,0
104,576,541,0
105,575,556,0
106,575,570,0
107,574,584,0
108,574,599,0
109,574,614,0
110,573,628,0
111,572,643,0
112,572,658,0
113,571,672,0
114,571,688,0
115,570,703,0
116,569,718,0
117,568,734,0
118,567,750,0
119,566,766,0
120,565,783,0
121,564,800,0
122,562,818,0
123,561,836,0
124,560,853,0
125,558,872,0
126,556,889,0
127,554,906,0
128,552,924,0
129,550,941,0
130,549,956,0
131,547,969,0
132,546,982,0
133,546,993,0
134,545,1001,0
135,544,1007,0
136,543,1012,0
137,543,1013,0
138,543,1015,0
139,543,1013,0
140,543,1011,0
141,543,1008,1
142,543,1005,1
143,543,1002,1
144,543,1000,1
145,543,999,1
146,543,1000,1
147,544,1000,1
148,544,1002,1
149,545,1004,1
150,545,1006,1
151,545,1007,1
152,545,1009,1
153,546,1008,1
154,546,1008,1
155,546,1007,1
156,546,1006,1
157,546,1005,1
158,546,1004,1
159,546,1003,1
160,546,1003,1
161,547,1002,1
162,547,1002,1
163,547,1003,1
164,548,1003,1
165,548,1004,1
166,549,1004,1
167,549,1004,1
168,549,1004,1
169,549,1005,1
170,549,1005,1
171,549,1005,1
172,548,1005,1
173,548,1005,1
174,548,1005,1
175,548,1005,1
176,548,1005,1
177,548,1004,1
178,549,1004,1
179,549,1004,1
180,550,1003,1
181,550,1003,1
182,550,1003,1
183,551,1003,1
184,551,1003,1
185,551,1002,1
186,551,1002,1
187,552,1002,1
188,552,1002,1
189,553,1000,1
190,553,999,1
191,554,997,1
192,555,995,1
193,556,994,1
194,556,993,1
195,557,992,1
196,558,991,1
197,558,991,1
198,559,991,1
199,559,990,1
200,560,991,1
201,560,990,1
202,560,990,1
203,560,990,1
204,560,989,1
205,560,988,1
206,560,987,1
207,559,986,1
208,559,984,1
209,559,983,1
210,559,981,1
211,559,980,1
212,560,977,1
213,561,974,1
214,562,969,1
215,563,963,1
216,563,958,1
217,564,950,1
218,565,942,1
219,566,932,1
220,566,922,1
221,566,910,1
222,567,898,1
223,567,885,1
224,567,872,1
225,567,859,1
226,567,846,1
227,567,833,1
228,567,820,1
229,567,808,1
230,568,795,1
231,568,783,1
232,569,770,1
233,569,758,1
234,569,745,1
235,570,733,1
236,570,721,1
237,570,709,1
238,571,697,1
239,571,685,1
240,571,673,1
241,571,661,1
242,571,650,1
243,571,638,1
244,571,627,1
245,571,616,1
246,571,605,1
247,572,594,1
248,571,583,1
249,571,574,1
250,571,564,1
251,572,554,1
252,571,545,1
253,571,536,1
254,571,528,1
255,570,521,1
256,570,514,1
257,570,507,1
258,569,500,1
259,568,494,1
260,567,487,1
261,567,479,1
262,566,473,1
263,566,466,1
264,565,460,1
265,564,453,1
266,564,446,1
267,563,441,1
268,562,434,1
269,561,428,1
270,560,422,1
271,558,417,1
272,557,412,1
273,556,407,1
274,555,402,1
275,554,399,1
276,553,396,1
277,552,395,1
278,551,395,1
279,551,395,1
